"index","longitude","latitude"
368539,47.455337,42.754096
368540,47.691549,42.739729
368541,47.679775,42.725775
368545,47.498117,42.976554
368546,47.564559,42.566163
368547,47.589411,42.609881
368549,47.76522,42.517
368550,47.995027,42.297977
368551,48.300104,42.065863
368552,47.89827,42.49597
368554,47.906157,42.389921
368555,47.792116,42.34279
368556,47.761205,42.409529
368557,47.957693,42.351806
368559,47.85224,42.259219
368560,47.978669,42.387757
368562,47.867925,42.387857
368563,47.853498,42.51896
368565,48.005735,42.241433
368570,47.63059,42.162806
368572,47.600442,42.094291
368575,48.300104,42.065863
368576,47.460602,42.06425
368577,48.300104,42.065863
368579,47.531173,42.159003
368580,47.584111,42.174721
368581,47.693301,42.165172
368582,48.300104,42.065863
368585,47.705958,42.118286
368586,48.300104,42.065863
368587,47.536913,42.10266
368590,47.834967,42.125421
368592,47.870063,42.090363
368593,47.788747,42.047212
368594,48.300104,42.065863
368595,47.829647,42.206072
368596,47.937984,42.052113
368599,48.300104,42.065863
368600,48.300104,42.065863
368601,48.296286,42.055453
368602,48.281761,42.056217
368604,48.306617,42.056277
368606,48.300104,42.065863
368607,48.28539,42.089908
368608,48.293043,42.06846
368612,48.333171,41.998697
368613,48.122004,42.170063
368614,48.300104,42.065863
368615,48.389118,41.878431
368616,48.392101,41.833313
368617,48.333647,41.895796
368618,48.294364,42.063647
368619,48.306617,42.056277
368620,48.161656,41.997336
368621,48.121654,42.16852
368622,48.146861,42.109002
368623,48.300104,42.065863
368624,48.067045,42.126137
368625,48.064377,42.222373
368626,48.226945,41.989161
368627,48.024537,42.204055
368628,48.065806,42.191571
368629,48.300104,42.065863
368630,48.300104,42.065863
368635,,
368636,48.306617,42.056277
368637,48.306617,42.056277
368638,,
368639,48.291139,42.063011
368641,47.972165,42.028428
368650,47.947533,41.949762
368652,47.97954,41.919222
368653,48.300104,42.065863
368654,47.869775,41.895347
368655,47.887463,41.956796
368656,47.899932,41.974583
368657,47.836726,41.958432
368658,48.300104,42.065863
368659,47.898692,41.985763
368660,48.008933,41.976754
368661,48.122022,41.961805
368662,48.014134,41.947214
368663,48.049016,41.909473
368664,48.300104,42.065863
368665,48.231949,41.83465
368666,48.019093,42.017094
368667,48.061889,42.024784
368668,48.300104,42.065863
368670,48.177565,42.120573
368680,47.931534,41.754398
368683,47.95189,41.823484
368684,48.351137,41.618544
368685,47.973216,41.734902
368686,48.351137,41.618544
368687,48.007864,41.80665
368688,47.885837,41.830781
368689,48.351137,41.618544
368691,47.875201,41.796487
368692,47.874932,41.797186
368693,48.370236,41.734855
368694,48.358836,41.853888
368695,47.855348,41.869971
368700,47.437623,41.535361
368702,47.307331,41.609848
368703,47.135977,41.651277
368704,47.089903,41.664858
368705,47.210798,41.693891
368706,48.351137,41.618544
368707,48.351137,41.618544
368708,48.351137,41.618544
368711,47.532862,41.4956
368726,48.3535,41.624672
368727,48.3535,41.624672
368728,48.351137,41.618544
368729,48.3535,41.624672
368730,47.7366,41.459186
368731,48.351137,41.618544
368736,48.351137,41.618544
368737,48.351137,41.618544
368739,48.351137,41.618544
368740,47.686357,41.480645
368741,47.603452,41.487191
368742,47.559138,41.494782
368743,47.632234,41.380444
368744,48.351137,41.618544
368745,47.675299,41.538135
368750,47.910065,41.423015
368753,48.351137,41.618544
368754,47.835325,41.284384
368755,48.351137,41.618544
368757,47.846617,41.422995
368758,48.351137,41.618544
368759,48.34025,41.933545
368760,48.156302,41.67711
368761,48.351137,41.618544
368763,48.351137,41.618544
368764,48.125391,41.603571
368767,48.327638,41.767205
368768,48.1117,41.711165
368769,48.139073,41.681884
368770,48.159688,41.774858
368771,48.056301,41.684504
368772,48.08458,41.714881
368773,48.351137,41.618544
368774,48.170001,41.703572
368775,48.194723,41.692147
368776,48.206257,41.679777
368778,48.321448,41.714679
368779,48.361845,41.76974
368780,48.351137,41.618544
368781,48.351137,41.618544
368782,48.249574,41.559972
368783,48.351137,41.618544
368785,48.378168,41.673237
368786,48.351137,41.618544
368787,,
368788,48.393861,41.738448
368789,48.385857,41.64687
368790,48.1754,41.519774
368791,48.32523,41.726928
368792,48.291031,41.657441
368793,48.351137,41.618544
368794,48.351137,41.618544
368795,48.480145,41.828019
368796,48.507974,41.815326
368797,48.49167,41.748869
368798,48.434654,41.774104
368799,48.402539,41.699836
368801,46.674971,43.903686
368802,46.699293,43.978266
368803,46.707355,43.849817
368804,47.190209,44.147946
368805,46.83135,43.941151
368806,46.821549,44.021985
